"Year","Country","Registered","Senior","U20","Female","MaleRefs","FemaleRefs","IndoorRinks","OutdoorRinks","Population","WM","WMI","WMII","WMIII","WM20","WM20I","WM20II","WM20III","WM18","WM18I","WM18II","WM18III","OGM","WW","WWI","WWII","WWIII","WWIV","WWV","WW18","WW18I","WW18II","OGW"
2011,"Andorra",56,23,24,9,0,0,1,0,84825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Argentina",966,690,130,146,25,4,0,1,41769726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Armenia",578,381,197,0,27,0,2,3,2967975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Australia",3188,1752,1121,315,253,30,21,0,21766711,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Austria",10489,5179,4724,586,413,22,45,72,8217280,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Belarus",4374,910,3430,34,128,0,28,3,9577552,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Belgium",1157,359,798,0,234,0,15,1,10431477,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Bosnia & Herzegovina",208,42,162,4,5,0,2,0,4622163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Bulgaria",230,100,203,27,30,3,3,5,7093635,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2011,"Canada",572411,18488,468096,85827,31572,1834,2486,5000,34030589,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2011,"China",613,119,311,183,63,32,41,12,1336718015,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Chinese Taipei",848,142,630,76,71,7,2,10,23071779,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Croatia",437,92,303,42,10,1,2,4,4483804,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Czech Republic",100668,75671,22828,2169,3938,49,58,23,10190213,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
2011,"Denmark",4405,1764,2245,396,88,5,23,0,5529888,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,"DPR Korea",1575,640,420,515,20,0,3,12,24457492,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2011,"Estonia",1510,442,946,92,142,12,6,15,1282963,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,"Finland",65251,25324,35167,4760,1743,52,246,30,5259250,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
2011,"France",17381,6400,9767,1214,123,6,124,5,65312249,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,"Georgia",207,39,168,0,4,0,2,1,4585874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Germany",28932,8224,18128,2580,1103,81,175,44,81471834,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
2011,"Great Britain",4901,1272,3153,476,266,5,46,0,62698362,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2011,"Greece",713,463,151,99,4,2,2,2,10760136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2011,"Hong Kong",496,62,371,63,9,0,5,0,7122508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,"Hungary",2087,184,1719,184,69,8,20,18,9976062,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
