Season,R,Spieler,Team,Pos,GP,G,A,PTS,P/GP,Time on Ice,Win Shares,WS per game
2021-22,HC Lugano,Ugazzi Nicolò,Lugano,D,9,0,1,1,0.11,3794,0.0010861,0.0001207
2021-22,HC Lugano,Chiesa Alessandro,Lugano,D,52,0,1,1,0.02,38280,0.2301880,0.0044267
2021-22,HC Lugano,Wolf Bernd,Lugano,D,51,0,2,2,0.04,650.55,-0.0371815,-0.0007290
2021-22,HC Lugano,Riva Elia,Lugano,D,44,1,10,11,0.25,794.75,0.8785176,0.0199663
2021-22,HC Lugano,Loeffel Romain,Lugano,D,33,9,12,21,0.64,708.6,2.1123509,0.0640106
2021-22,HC Lugano,Näser Jari,Lugano,D,5,0,0,0,0,18.05,0.0426595,0.0085319
2021-22,HC Lugano,Villa Alessandro,Lugano,D,11,0,0,0,0,52.56666667,-0.0499765,-0.0045433
2021-22,HC Lugano,Guerra Samuel,Lugano,D,38,0,7,7,0.18,471.6833333,0.6220832,0.0163706
2021-22,HC Lugano,Alatalo Santeri,Lugano,D,50,5,33,38,0.76,1143.683333,2.3623449,0.0472469
2021-22,HC Lugano,Müller Mirco,Lugano,D,50,3,15,18,0.36,1144.683333,1.4392987,0.0287860
2021-22,HC Lugano,Josephs Troy,Lugano,F,38,13,12,25,0.66,676.25,1.2646396,0.0332800
2021-22,HC Lugano,Carr Daniel,Lugano,F,29,17,10,27,0.93,582.6666667,1.8600045,0.0641381
2021-22,HC Lugano,Bertaggia Alessio,Lugano,F,47,8,15,23,0.49,570.5666667,0.9231135,0.0196407
2021-22,HC Lugano,Herren Yannick,Lugano,F,26,2,1,3,0.12,254.9333333,0.0358580,0.0013792
2021-22,HC Lugano,Herburger Raphael,Lugano,F,45,5,13,18,0.4,738.8666667,0.5890806,0.0130907
2021-22,HC Lugano,Fazzini Luca,Lugano,F,52,17,26,43,0.83,924.5166667,2.1719310,0.0417679
2021-22,HC Lugano,Vedova Loic,Lugano,F,43,3,1,4,0.09,282.3,-0.0140194,-0.0003260
2021-22,HC Lugano,Traber Tim,Lugano,F,52,5,2,7,0.13,307.7166667,0.2020427,0.0038854
2021-22,HC Lugano,Morini Giovanni,Lugano,F,52,12,10,22,0.42,805.0333333,1.0394292,0.0199890
2021-22,HC Lugano,Arcobello Mark,Lugano,F,52,22,29,51,0.98,1010.1,2.5602975,0.0492365
2021-22,HC Lugano,Boedker Mikkel,Lugano,F,44,4,20,24,0.55,724.1666667,0.7980761,0.0181381
2021-22,HC Lugano,Walker Julian,Lugano,F,50,4,3,7,0.14,618.1166667,-0.0822286,-0.0016446
2021-22,HC Lugano,Thürkauf Calvin,Lugano,F,50,16,19,35,0.7,937.15,1.9012817,0.0380256
2021-22,HC Lugano,Stoffel Yves,Lugano,F,51,0,7,7,0.14,461.9833333,-0.1234825,-0.0024212
2021-22,HC Lugano,Tschumi Evan,Lugano,F,16,0,0,0,0,90.81666667,-0.1352174,-0.0084511
2021-22,HC Lugano,Werder Riccardo,Lugano,F,6,0,0,0,0,25.91666667,-0.0360784,-0.0060131
2021-22,HC Lugano,Abdelkader Justin,Lugano,F,6,0,1,1,0.17,104.45,-0.0448603,-0.0074767
2021-22,HC Ajoie,Birbaum Alain,Ajoie,D,51,1,4,5,0.1,1039.85,-0.3637656,-0.0071327
2021-22,HC Ajoie,Eigenmann Daniel,Ajoie,D,50,5,7,12,0.24,1033.45,0.9974958,0.0199499
2021-22,HC Ajoie,Hauert Jordane,Ajoie,D,51,0,7,7,0.14,936.8333333,-0.5035132,-0.0098728
2021-22,HC Ajoie,Pouilly Bastien,Ajoie,D,49,0,5,5,0.1,828.6333333,-0.2912671,-0.0059442
2021-22,HC Ajoie,Rouiller Anthony,Ajoie,D,44,0,10,10,0.23,774.9833333,0.0429664,0.0009765
2021-22,HC Ajoie,Gauthier-Leduc Jerome,Ajoie,D,31,7,14,21,0.68,635.6833333,1.0611370,0.0342302
2021-22,HC Ajoie,Helfer Even,Ajoie,D,24,0,0,0,0,117.3333333,-0.1214661,-0.0050611
2021-22,HC Ajoie,Gfeller Malo,Ajoie,D,9,0,0,0,0,23.95,0.0186407,0.0020712
2021-22,HC Ajoie,Fontana Colin,Ajoie,D,7,0,1,1,0.14,42.95,0.0093254,0.0013322
2021-22,HC Ajoie,Romanenghi Matteo,Ajoie,F,51,7,4,11,0.22,763.0333333,0.0497707,0.0009759
2021-22,HC Ajoie,Schweri Kay,Ajoie,F,36,4,10,14,0.39,382.3,0.5344967,0.0148471
2021-22,HC Ajoie,Asselin Guillaume,Ajoie,F,27,7,6,13,0.48,537.1833333,0.2305010,0.0085371
2021-22,HC Ajoie,Bogdanoff Lou,Ajoie,F,51,1,1,2,0.04,485.7833333,-0.5158880,-0.0101155
2021-22,HC Ajoie,Devos Philip-Michael,Ajoie,F,51,12,26,38,0.75,1170.166667,1.0470869,0.0205311
2021-22,HC Ajoie,Frei Lars,Ajoie,F,51,1,6,7,0.14,537.9666667,-0.4028297,-0.0078986
2021-22,HC Ajoie,Frossard Thibault,Ajoie,F,51,10,18,28,0.55,941.5,0.6449290,0.0126457
2021-22,HC Ajoie,Hazen Jonathan,Ajoie,F,8,2,4,6,0.75,178.3833333,0.2283515,0.0285439
2021-22,HC Ajoie,Joggi Mathias,Ajoie,F,40,2,3,5,0.12,622.5833333,-0.2894226,-0.0072356
2021-22,HC Ajoie,Macquat Steven,Ajoie,F,45,1,2,3,0.07,447.35,-0.2855995,-0.0063467
2021-22,HC Ajoie,Schmutz Reto,Ajoie,F,50,7,11,18,0.36,801.15,0.1588239,0.0031765
2021-22,HC Ajoie,Schnegg Arnaud,Ajoie,F,49,1,0,1,0.02,291.8333333,-0.4422522,-0.0090256
2021-22,HC Ajoie,Huber Ueli,Ajoie,F,51,6,9,15,0.29,763.95,-0.0408409,-0.0008008
2021-22,HC Ajoie,Fortier Maxime,Ajoie,F,29,11,2,13,0.45,543.4333333,0.5025859,0.0173305
2021-22,HC Ajoie,Wännström Sebastian,Ajoie,F,19,5,4,9,0.47,358.45,0.2201460,0.0115866
2021-22,HC Ambri-Piotta,Fohrler Tobias,Ambri-Piotta,D,48,0,6,6,0.12,688.55,0.5743252,0.0119651
2021-22,HC Ambri-Piotta,Dotti Isacco,Ambri-Piotta,D,50,5,7,12,0.24,869.3333333,1.4354059,0.0287081
2021-22,HC Ambri-Piotta,Hächler Cedric,Ambri-Piotta,D,32,0,1,1,0.03,315.1833333,0.0179125,0.0005598
2021-22,HC Ambri-Piotta,Dotti Zaccheo,Ambri-Piotta,D,51,4,3,7,0.14,743.4666667,0.8756178,0.0171690
2021-22,HC Ambri-Piotta,Fora Michael,Ambri-Piotta,D,39,5,13,18,0.46,791.7,1.7228296,0.0441751
2021-22,HC Ambri-Piotta,Pezzullo Rocco,Ambri-Piotta,D,26,0,2,2,0.08,204.8166667,0.2626572,0.0101022
2021-22,HC Ambri-Piotta,Fischer Jannik,Ambri-Piotta,D,45,0,4,4,0.09,626.7833333,0.0947587,0.0021057
2021-22,HC Ambri-Piotta,Burren Yanik,Ambri-Piotta,D,44,3,9,12,0.27,709.15,1.2290587,0.0279332
2021-22,HC Ambri-Piotta,Hietanen Juuso,Ambri-Piotta,D,50,2,17,19,0.38,1051.3,1.5706749,0.0314135
2021-22,HC Ambri-Piotta,Bürgler Dario,Ambri-Piotta,F,52,15,19,34,0.65,844.85,1.7905971,0.0344346
2021-22,HC Ambri-Piotta,Kneubuehler Johnny,Ambri-Piotta,F,52,7,12,19,0.37,681.0333333,0.8087205,0.0155523
2021-22,HC Ambri-Piotta,Dal Pian Giacomo,Ambri-Piotta,F,18,1,2,3,0.17,125.4666667,0.1689053,0.0093836
2021-22,HC Ambri-Piotta,Zwerger Dominic,Ambri-Piotta,F,47,9,19,28,0.6,770.8666667,1.1278337,0.0239965
2021-22,HC Ambri-Piotta,Trisconi Noele,Ambri-Piotta,F,50,3,3,6,0.12,575.4333333,-0.0882256,-0.0017645
2021-22,HC Ambri-Piotta,Bianchi Elias,Ambri-Piotta,F,52,4,4,8,0.15,563.3333333,0.1004288,0.0019313
2021-22,HC Ambri-Piotta,Grassi Daniele,Ambri-Piotta,F,50,7,12,19,0.38,689.1333333,0.7671764,0.0153435
2021-22,HC Ambri-Piotta,Kostner Diego,Ambri-Piotta,F,47,6,7,13,0.28,634.2833333,0.3479650,0.0074035
2021-22,HC Ambri-Piotta,D'Agostini Matt,Ambri-Piotta,F,21,4,3,7,0.33,344.6666667,0.2342440,0.0111545
2021-22,HC Ambri-Piotta,Conacher Cory,Ambri-Piotta,F,41,14,10,24,0.59,689.4166667,1.3611282,0.0331982
2021-22,HC Ambri-Piotta,Incir Patrick,Ambri-Piotta,F,24,2,0,2,0.08,168.8333333,0.1008920,0.0042038
