Team,Season,Regular Season,Playoffs,Growth Factor
ZSC Lions,08/09,7720,8698,1.13
ZSC Lions,09/10,7749,8948,1.15
ZSC Lions,10/11,7640,10050,1.32
ZSC Lions,11/12,7625,10843,1.42
ZSC Lions,12/13,8745,10541,1.21
ZSC Lions,13/14,9048,10082,1.11
ZSC Lions,14/15,9331,10447,1.12
ZSC Lions,15/16,9818,10633,1.08
ZSC Lions,16/17,9214,10348,1.12
ZSC Lions,17/18,8863,11014,1.24
ZSC Lions,18/19,9694,,
ZSC Lions,19/20,8975,,
ZSC Lions,21/22,8020,10239,1.28
ZSC Lions,Median,8863,10348,1.15
SCL Tigers,08/09,5788,,
SCL Tigers,09/10,5235,,
SCL Tigers,10/11,5374,6550,1.22
SCL Tigers,11/12,5290,,
SCL Tigers,12/13,5355,,
SCL Tigers,13/14,,,
SCL Tigers,14/15,,,
SCL Tigers,15/16,5868,,
SCL Tigers,16/17,5779,,
SCL Tigers,17/18,5777,,
SCL Tigers,18/19,5747,6000,1.04
SCL Tigers,19/20,5549,,
SCL Tigers,21/22,4742,,
SCL Tigers,Median,5549,6275,1.13
SC Rapperswil-Jona Lakers,08/09,4816,,
SC Rapperswil-Jona Lakers,09/10,4754,,
SC Rapperswil-Jona Lakers,10/11,4363,,
SC Rapperswil-Jona Lakers,11/12,4135,,
SC Rapperswil-Jona Lakers,12/13,4566,,
SC Rapperswil-Jona Lakers,13/14,4361,,
SC Rapperswil-Jona Lakers,14/15,4276,,
SC Rapperswil-Jona Lakers,15/16,,,
SC Rapperswil-Jona Lakers,16/17,,,
SC Rapperswil-Jona Lakers,17/18,,,
SC Rapperswil-Jona Lakers,18/19,3985,,
SC Rapperswil-Jona Lakers,19/20,4050,,
SC Rapperswil-Jona Lakers,21/22,3927,6100,1.55
SC Rapperswil-Jona Lakers,Median,4319,6100,1.55
SC Bern,08/09,16172,16464,1.02
SC Bern,09/10,15709,16931,1.08
SC Bern,10/11,15856,16856,1.06
SC Bern,11/12,15779,16979,1.08
SC Bern,12/13,16330,16780,1.03
SC Bern,13/14,16347,,
SC Bern,14/15,16164,16693,1.03
SC Bern,15/16,16145,17031,1.05
SC Bern,16/17,16399,17031,1.04
SC Bern,17/18,16371,16658,1.02
SC Bern,18/19,16290,16687,1.02
SC Bern,19/20,15588,,
SC Bern,21/22,13348,,
SC Bern,Median,16164,16818,1.04
Lausanne HC,08/09,,,
Lausanne HC,09/10,,,
Lausanne HC,10/11,,,
Lausanne HC,11/12,,,
Lausanne HC,12/13,,,
Lausanne HC,13/14,6528,8000,1.23
Lausanne HC,14/15,6711,7557,1.13
Lausanne HC,15/16,6692,,
Lausanne HC,16/17,6567,7600,1.16
Lausanne HC,17/18,6282,,
Lausanne HC,18/19,6498,6700,1.03
Lausanne HC,19/20,8206,,
Lausanne HC,21/22,6052,9600,1.59
Lausanne HC,Median,6548,7579,1.16
HC Lugano,08/09,3992,5374,1.35
HC Lugano,09/10,4136,4348,1.05
HC Lugano,10/11,4060,,
HC Lugano,11/12,4125,5583,1.35
HC Lugano,12/13,4725,5647,1.2
HC Lugano,13/14,5040,5302,1.05
HC Lugano,14/15,5559,6139,1.1
HC Lugano,15/16,5783,7433,1.29
HC Lugano,16/17,5911,7139,1.21
HC Lugano,17/18,5762,6910,1.2
HC Lugano,18/19,6301,7037,1.12
HC Lugano,19/20,5679,,
HC Lugano,21/22,4960,5984,1.21
HC Lugano,Median,5040,6062,1.2
HC Davos,08/09,4195,6001,1.43
HC Davos,09/10,4514,5120,1.13
HC Davos,10/11,4524,5982,1.32
HC Davos,11/12,4544,5355,1.18
HC Davos,12/13,4784,5576,1.17
HC Davos,13/14,4782,5359,1.12
HC Davos,14/15,4763,5950,1.25
HC Davos,15/16,4822,5796,1.2
HC Davos,16/17,4792,6050,1.26
HC Davos,17/18,4681,5383,1.15
HC Davos,18/19,4307,,
HC Davos,19/20,4444,,
HC Davos,21/22,3988,5613,1.41
HC Davos,Median,4544,5613,1.2
HC Ambri-Piotta,08/09,3608,,
HC Ambri-Piotta,09/10,3490,,
HC Ambri-Piotta,10/11,3657,,
HC Ambri-Piotta,11/12,3707,,
HC Ambri-Piotta,12/13,4859,,
HC Ambri-Piotta,13/14,5631,5902,1.05
HC Ambri-Piotta,14/15,5154,,
HC Ambri-Piotta,15/16,5298,,
HC Ambri-Piotta,16/17,4955,,
HC Ambri-Piotta,17/18,4730,,
HC Ambri-Piotta,18/19,5489,6295,1.15
HC Ambri-Piotta,19/20,4996,,
HC Ambri-Piotta,21/22,6017,,
HC Ambri-Piotta,Median,4955,6099,1.1
HC Ajoie,08/09,,,
HC Ajoie,09/10,,,
HC Ajoie,10/11,,,
HC Ajoie,11/12,,,
HC Ajoie,12/13,,,
HC Ajoie,13/14,,,
HC Ajoie,14/15,,,
HC Ajoie,15/16,,,
HC Ajoie,16/17,,,
HC Ajoie,17/18,,,
HC Ajoie,18/19,,,
HC Ajoie,19/20,,,
HC Ajoie,21/22,3626,,
HC Ajoie,Median,3626,0,1.31
Genève-Servette HC,08/09,6099,6350,1.04
Genève-Servette HC,09/10,6554,7037,1.07
Genève-Servette HC,10/11,6922,7382,1.07
Genève-Servette HC,11/12,6769,,
Genève-Servette HC,12/13,6967,7135,1.02
Genève-Servette HC,13/14,7722,7120,0.92
Genève-Servette HC,14/15,6619,7007,1.06
Genève-Servette HC,15/16,6556,6928,1.06
Genève-Servette HC,16/17,6135,6727,1.1
Genève-Servette HC,17/18,5928,6272,1.06
Genève-Servette HC,18/19,6019,7026,1.17
Genève-Servette HC,19/20,5801,,
Genève-Servette HC,21/22,4833,,
Genève-Servette HC,Median,6554,7017,1.06
Fribourg-Gottéron,08/09,6169,7125,1.15
Fribourg-Gottéron,09/10,6969,7000,1
Fribourg-Gottéron,10/11,6764,6700,0.99
Fribourg-Gottéron,11/12,6636,6800,1.02
Fribourg-Gottéron,12/13,6537,6700,1.02
Fribourg-Gottéron,13/14,6570,6700,1.02
Fribourg-Gottéron,14/15,6261,,
Fribourg-Gottéron,15/16,6156,6302,1.02
Fribourg-Gottéron,16/17,5758,,
Fribourg-Gottéron,17/18,5889,6418,1.09
Fribourg-Gottéron,18/19,6077,,
Fribourg-Gottéron,19/20,5935,,
Fribourg-Gottéron,21/22,8324,8934,1.07
Fribourg-Gottéron,Median,6261,6700,1.02
EV Zug,08/09,4533,6380,1.41
EV Zug,09/10,4316,5884,1.36
EV Zug,10/11,6295,6514,1.03
EV Zug,11/12,6265,6904,1.1
EV Zug,12/13,6302,7015,1.11
EV Zug,13/14,6159,,
EV Zug,14/15,6366,7015,1.1
EV Zug,15/16,6486,7015,1.08
EV Zug,16/17,6436,6999,1.09
EV Zug,17/18,6983,7200,1.03
EV Zug,18/19,6952,7193,1.03
EV Zug,19/20,6574,,
EV Zug,21/22,6708,7200,1.07
EV Zug,Median,6366,7007,1.09
EHC Kloten,08/09,4772,7035,1.47
EHC Kloten,09/10,5849,7424,1.27
EHC Kloten,10/11,5695,7423,1.3
EHC Kloten,11/12,6041,7077,1.17
EHC Kloten,12/13,5366,,
EHC Kloten,13/14,5627,7256,1.29
EHC Kloten,14/15,5262,,
EHC Kloten,15/16,4790,6523,1.36
EHC Kloten,16/17,5229,,
EHC Kloten,17/18,5356,,
EHC Kloten,18/19,,,
EHC Kloten,19/20,,,
EHC Kloten,21/22,,,
EHC Kloten,Median,5361,7077,1.3
EHC Biel-Bienne,08/09,5015,,
EHC Biel-Bienne,09/10,4901,,
EHC Biel-Bienne,10/11,4526,,
EHC Biel-Bienne,11/12,4749,5550,1.17
EHC Biel-Bienne,12/13,4909,6090,1.24
EHC Biel-Bienne,13/14,4651,,
EHC Biel-Bienne,14/15,4676,6035,1.29
EHC Biel-Bienne,15/16,5896,,
EHC Biel-Bienne,16/17,5415,6521,1.2
EHC Biel-Bienne,17/18,5369,6521,1.21
EHC Biel-Bienne,18/19,6028,6521,1.08
EHC Biel-Bienne,19/20,5696,,
EHC Biel-Bienne,21/22,5263,6401,1.22
EHC Biel-Bienne,Median,5015,6401,1.21
