team,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,21/22,median
ZSC Lions,7720,7749,7640,7625,8745,9048,9331,9818,9214,8863,9694,8975,8020,8863
SCL Tigers,5788,5235,5374,5290,5355,,,5868,5779,5777,5747,5549,4742,5549
SC Rapperswil-Jona Lakers,4816,4754,4363,4135,4566,4361,4276,,,,3985,4050,3927,4319
SC Bern,16172,15709,15856,15779,16330,16347,16164,16145,16399,16371,16290,15588,13348,16164
Lausanne HC,,,,,,6528,6711,6692,6567,6282,6498,8206,6052,6548
HC Lugano,3992,4136,4060,4125,4725,5040,5559,5783,5911,5762,6301,5679,4960,5040
HC Davos,4195,4514,4524,4544,4784,4782,4763,4822,4792,4681,4307,4444,3988,4544
HC Ambri-Piotta,3608,3490,3657,3707,4859,5631,5154,5298,4955,4730,5489,4996,6017,4955
HC Ajoie,,,,,,,,,,,,,3626,3626
Genève-Servette HC,6099,6554,6922,6769,6967,7722,6619,6556,6135,5928,6019,5801,4833,6554
Fribourg-Gottéron,6169,6969,6764,6636,6537,6570,6261,6156,5758,5889,6077,5935,8324,6261
EV Zug,4533,4316,6295,6265,6302,6159,6366,6486,6436,6983,6952,6574,6708,6366
EHC Kloten Flyers,4772,5849,5695,6041,5366,5627,5262,4790,5229,5356,,,,5361
EHC Biel-Bienne,5015,4901,4526,4749,4909,4651,4676,5896,5415,5369,6028,5696,5263,5015
