team,t,teamBudgets_t,broadcastingRevenue_t-1,teamBudgetLessBroadcasting_t,homeGames_t-1,avgGameRevenue_t-1,wins_t-1,losses_t-1,games_t-1,avgWinningPercentage_t-1
ZSC Lions,2018/2019,16700000,1450000,15250000,33,462121,37,31,68,0.54
SCL Tigers,2018/2019,6500000,1450000,5050000,28,180357,27,29,56,0.48
SC Rapperswil-Jona Lakers,2019/2020,11000000,1450000,9550000,30,318333,15,46,61,0.25
SC Bern,2017/2018,15000000,1450000,13550000,34,398529,49,17,66,0.74
Lausanne HC,2018/2019,15000000,1450000,13550000,28,483929,23,33,56,0.41
HC Lugano,2018/2019,15000000,1450000,13550000,35,387143,40,28,68,0.59
HC Davos ,2018/2019,8300000,1450000,6850000,28,244643,26,30,56,0.46
HC Ambri-Piotta,2018/2019,8000000,1450000,6550000,31,211290,26,35,61,0.43
HC Ajoie,2021/2022,7100000,1450000,5650000,26,217308,9,42,51,0.18
Genève-Servette HC,2018/2019,14000000,1450000,12550000,27,464815,25,30,55,0.45
Fribourg-Gottéron,2018/2020,12700000,1450000,11250000,27,416667,26,29,55,0.47
EV Zug,2018/2021,18400000,1450000,16950000,28,605357,34,21,55,0.62
EHC Kloten,2017/2018,8600000,1450000,7150000,28,255357,21,35,56,0.38
EHC Biel-Bienne,2016/2017,10400000,1450000,8950000,31,288710,23,38,61,0.38
