simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
1,True,1,True,241.0,413886.356846473,209170.922215873,8851.0,265519.0,362876.0,495635.0,885063.0
1,True,2,True,236.0,660016.1652542372,343549.41740780894,13567.0,434147.0,610519.0,773324.0,1356710.0
1,True,3,True,246.0,637941.8089430894,345567.3851352059,27371.0,424256.0,595327.0,845090.75,1368568.0
1,True,4,True,240.0,553073.275,314656.57380565297,12340.0,370189.0,499756.0,703360.0,1233965.0
1,True,5,True,233.0,621400.2188841202,333963.73176933604,13759.0,454048.0,591638.0,784265.0,1375903.0
1,True,6,True,245.0,581144.9142857143,315203.4808167653,12234.0,379257.0,538301.0,758515.0,1223411.0
1,True,7,True,239.0,556908.129707113,335073.6545810086,12815.0,371647.0,499802.0,717664.0,1281543.0
1,True,8,True,238.0,580354.9537815126,331364.54357584147,13318.0,412869.0,546052.0,759145.0,1331834.0
1,True,9,True,239.0,621714.0,348638.8277075371,0.0,461980.0,573976.0,825965.0,1399940.0
1,True,10,True,243.0,641354.7530864198,329252.02171673696,14443.0,389948.0,606586.0,823224.0,1444252.0
2,True,1,True,231.0,413527.5108225108,212545.17701727123,8851.0,269944.5,354025.0,504486.0,885063.0
2,True,2,True,229.0,535613.5851528384,273082.58530789835,11359.0,363491.0,477082.0,647468.0,1135910.0
2,True,3,True,237.0,528592.0253164558,253581.55495889724,11590.0,359290.0,498370.0,683810.0,1159000.0
2,True,4,True,236.0,578904.3771186441,309044.99607146956,12737.0,378937.75,534971.0,729216.5,1273741.0
2,True,5,True,231.0,619624.5844155845,304859.85467969085,13451.0,457338.0,632202.0,786890.5,1345111.0
2,True,6,True,243.0,579157.8106995885,304800.4910953052,12437.0,410416.0,534784.0,727555.5,1243685.0
2,True,7,True,244.0,571889.0081967213,314038.8419288288,12330.0,406897.0,542529.0,752143.0,1233021.0
2,True,8,True,239.0,576243.1841004185,312363.85936607135,12173.0,389527.0,523427.0,766881.0,1217272.0
2,True,9,True,240.0,587464.8041666667,290772.92100531934,11945.0,418089.0,549488.0,731656.25,1194540.0
2,True,10,True,241.0,609593.510373444,327579.66066419263,0.0,432480.0,537323.0,773221.0,1310545.0
3,True,1,True,239.0,411980.18828451884,205874.19918029616,44253.0,274370.0,380577.0,495635.0,885063.0
3,True,2,True,234.0,537427.0256410256,270408.556715835,10687.0,341995.0,470243.0,681318.0,1068734.0
3,True,3,True,232.0,562955.7413793104,291107.1406723414,12481.0,386925.0,505498.0,689599.25,1248144.0
3,True,4,True,238.0,527774.4537815126,318833.1280446534,12402.0,334862.0,458885.0,669723.0,1240229.0
3,True,5,True,240.0,564264.225,329177.3714805254,12409.0,397100.0,514988.5,756971.0,1240937.0
3,True,6,True,228.0,554897.9298245613,307231.3286461201,12344.0,391931.75,493772.0,691281.0,1234430.0
3,True,7,True,233.0,558387.4206008584,295138.9545829304,12623.0,378687.0,517539.0,732129.0,1262291.0
3,True,8,True,229.0,572525.92139738,322638.45040552976,13414.0,402420.0,523146.0,724356.0,1341400.0
3,True,9,True,233.0,624112.9270386266,316028.23192623374,13488.0,445117.0,606978.0,782327.0,1348839.0
3,True,10,True,238.0,646454.5756302521,324525.6526127358,12825.0,474509.0,609166.5,846421.0,1282456.0
4,True,1,True,236.0,417442.26271186443,219466.9904842447,17701.0,272157.25,371727.0,548739.0,885063.0
4,True,2,True,225.0,493251.40444444446,254926.09785471053,10795.0,334640.0,453383.0,626100.0,1079482.0
4,True,3,True,238.0,572687.5714285715,306060.06397457235,11728.0,387015.0,516020.0,762302.0,1172773.0
4,True,4,True,226.0,585592.4734513274,335797.7990370881,12803.0,361682.75,531321.5,780979.0,1280293.0
4,True,5,True,260.0,572454.2576923077,318426.59907219786,12021.0,393703.75,528946.0,733311.0,1202150.0
4,True,6,True,238.0,591941.6260504202,335715.1118272082,13592.0,407763.0,564072.0,747566.0,1359210.0
4,True,7,True,237.0,628969.9071729957,323285.28419680917,13386.0,428350.0,602368.0,829929.0,1338595.0
4,True,8,True,249.0,607487.59437751,318482.7918012214,12475.0,436640.0,548918.0,773476.0,1247542.0
4,True,9,True,235.0,614184.9021276595,331604.2708850799,26795.0,401931.0,562704.0,750271.0,1339770.0
4,True,10,True,250.0,590545.444,320885.6816319989,24989.0,387333.0,537269.0,790284.25,1249462.0
5,True,1,True,233.0,392580.5579399142,210615.66789175273,8851.0,247818.0,345175.0,486785.0,885063.0
5,True,2,True,223.0,468282.54260089685,226223.64316447932,10323.0,299366.0,423241.0,588408.0,1032296.0
5,True,3,True,240.0,560849.9875,281623.99460214557,24998.0,412474.0,537466.0,715579.75,1249921.0
5,True,4,True,229.0,554249.9388646288,297716.9884412861,12078.0,386482.0,507258.0,724655.0,1207758.0
5,True,5,True,238.0,610100.462184874,334902.9597545902,13367.0,417713.75,561407.0,812035.25,1336684.0
5,True,6,True,242.0,594115.4256198347,339184.94945176155,12807.0,409837.0,537911.0,752435.25,1280741.0
5,True,7,True,230.0,609504.8956521739,318870.75315786654,13084.0,418700.0,562629.0,719641.0,1308439.0
5,True,8,True,239.0,580521.3472803347,301567.688957544,12417.0,409752.0,546336.0,776046.0,1241674.0
5,True,9,True,240.0,541159.3291666667,262787.85820776946,11664.0,384911.0,507382.5,702754.0,1166397.0
5,True,10,True,246.0,591460.1951219512,324879.2239810184,12770.0,421404.0,523562.0,740649.0,1276981.0
6,True,1,True,230.0,430487.01304347825,209782.82462569317,8851.0,274370.0,398278.0,528825.25,885063.0
6,True,2,True,238.0,511769.5,260486.95392858674,11114.0,344542.0,483470.0,655741.0,1111426.0
6,True,3,True,231.0,522490.0303030303,290346.6846317616,12267.0,318942.0,490681.0,693086.5,1226702.0
6,True,4,True,232.0,610715.9310344828,356762.77338322514,13799.0,400165.0,551952.0,831377.75,1379880.0
6,True,5,True,248.0,640389.2862903225,355124.6473876534,13653.0,436909.0,587097.0,860165.0,1365342.0
6,True,6,True,233.0,570782.407725322,322236.3847981298,13105.0,380053.0,524211.0,747001.0,1310527.0
6,True,7,True,237.0,528197.8734177215,293014.611191526,11374.0,363970.0,489085.0,671070.0,1137406.0
6,True,8,True,227.0,515637.3568281938,284198.6207748827,11491.0,379211.0,505614.0,655000.0,1149123.0
6,True,9,True,232.0,575049.8103448276,305145.4289612663,12468.0,408339.0,548608.0,713814.25,1246837.0
6,True,10,True,235.0,599340.5021276596,327340.7267289008,12670.0,418126.0,544831.0,785570.0,1267048.0
7,True,1,True,225.0,392377.9377777778,200713.48790964013,8851.0,247818.0,362876.0,504486.0,885063.0
7,True,2,True,242.0,558954.4462809918,289124.94616219786,11619.0,360185.0,511231.0,705847.25,1161888.0
7,True,3,True,258.0,547176.2790697674,294219.5660623308,46029.0,359602.75,494814.0,745097.25,1150730.0
7,True,4,True,231.0,567470.2813852814,313511.2596733184,13563.0,406888.0,515391.0,691709.0,1356292.0
7,True,5,True,231.0,590670.1731601731,318270.41104667913,25482.0,426828.0,535128.0,726245.0,1274114.0
7,True,6,True,248.0,560335.375,329340.2556961056,13556.0,393126.0,528686.0,745583.0,1355606.0
7,True,7,True,238.0,602654.1092436975,325190.9678817249,13141.0,420505.0,551913.0,749025.0,1314079.0
7,True,8,True,227.0,582499.1718061673,307202.1688837025,12500.0,412507.0,562510.0,756263.0,1250022.0
7,True,9,True,221.0,618582.2126696833,293172.19348330714,13442.0,443591.0,578013.0,779645.0,1344215.0
7,True,10,True,235.0,601893.7829787234,307253.6466753468,13507.0,405209.0,567293.0,837433.0,1350698.0
8,True,1,True,227.0,399058.17621145374,204959.5815420857,8851.0,274370.0,336324.0,486785.0,885063.0
8,True,2,True,240.0,624309.75,350026.8215774484,13237.0,420287.75,555972.0,820720.0,1323742.0
8,True,3,True,253.0,615253.9486166008,359841.81060540903,13556.0,406669.0,555781.0,813338.0,1355563.0
8,True,4,True,247.0,647909.914979757,368983.68545778963,14371.0,445496.0,603576.0,855065.5,1437085.0
8,True,5,True,247.0,670806.6720647773,332560.3592539612,27903.0,474355.0,613871.0,878951.0,1395161.0
8,True,6,True,232.0,605797.900862069,319221.3005786696,14100.0,437089.0,563985.0,761380.0,1409963.0
8,True,7,True,233.0,591540.4377682403,320616.5857528121,41825.0,446139.0,543731.0,766801.0,1394183.0
8,True,8,True,241.0,564464.622406639,300122.18380402063,12077.0,398543.0,543468.0,736701.0,1207706.0
8,True,9,True,240.0,576600.4416666667,340436.78580311313,13977.0,419304.0,559071.0,740770.0,1397678.0
8,True,10,True,240.0,610392.1458333334,362062.7471958007,13400.0,442216.0,549420.0,804029.0,1340049.0
9,True,1,True,217.0,372338.30414746545,184397.95850094024,8851.0,238967.0,327473.0,477934.0,885063.0
9,True,2,True,234.0,555017.7735042735,303967.3305933928,12978.0,379616.5,519133.0,674873.0,1297833.0
9,True,3,True,231.0,577172.5281385281,312247.14831809234,12884.0,399414.0,554026.0,740848.0,1288431.0
