simulation,validSimulation,season,validSeason,count,mean,std,min,25%,50%,75%,max
1,True,1,True,213.0,342430.6384976526,154497.67355797385,6920.0,235283.0,304484.0,422125.0,692009.0
1,True,2,True,207.0,342642.27536231885,169201.31452034906,7577.0,219729.0,303074.0,431881.0,757686.0
1,True,3,True,204.0,332622.3725490196,162989.41770680205,22274.0,222743.0,289566.0,415787.0,742477.0
1,True,4,True,205.0,332385.60487804876,152499.95241633774,36415.0,233054.0,291317.0,422410.0,728293.0
1,True,5,True,205.0,314690.2,164718.74430461228,14030.0,210455.0,273592.0,378819.0,701517.0
1,True,6,True,204.0,325571.50980392157,142291.24035774902,6944.0,222222.0,298611.0,388888.0,694444.0
1,True,7,True,203.0,322300.842364532,143035.626938009,20433.0,217954.0,279254.0,384825.5,681106.0
1,True,8,True,197.0,322178.5126903553,139120.8778763556,27416.0,219332.0,281019.0,376977.0,685412.0
1,True,9,True,203.0,328637.6206896552,134509.12456508778,20265.0,229674.0,290470.0,385041.0,675511.0
1,True,10,True,197.0,329974.7614213198,135641.82606562506,6656.0,239625.0,299532.0,386063.0,665626.0
2,True,1,True,218.0,355400.4633027523,172962.14009936422,13840.0,216253.0,318324.0,463646.0,692009.0
2,True,2,True,204.0,323172.64215686277,152228.27718247753,15128.0,211790.0,294993.0,385761.0,756393.0
2,True,3,True,212.0,331552.17452830187,152905.55462583384,29567.0,221755.0,288282.0,401008.0,739185.0
2,True,4,True,205.0,329999.0878048781,166543.66837883837,7248.0,217454.0,289938.0,405913.0,724845.0
2,True,5,True,201.0,331258.46766169154,148939.86591725601,7271.0,218138.0,305393.0,407191.0,727126.0
2,True,6,True,201.0,322071.407960199,144616.6498873582,7064.0,240183.0,296697.0,409724.0,706420.0
2,True,7,True,205.0,322745.4926829268,142372.50804793392,6836.0,225602.0,287129.0,396512.0,683642.0
2,True,8,True,207.0,318352.27536231885,138798.07094500583,13491.0,222609.0,283320.0,371015.0,674572.0
2,True,9,True,205.0,332940.78536585363,140071.18832205894,60017.0,233400.0,300086.0,386777.0,666858.0
2,True,10,True,195.0,321984.21025641024,132315.39628970213,13102.0,229293.0,301356.0,383246.5,655122.0
3,True,1,True,218.0,335084.6055045872,146430.86042102223,20760.0,228363.0,304484.0,401365.0,692009.0
3,True,2,True,218.0,379999.13302752294,178501.82726583022,60450.0,249358.0,332478.0,489271.0,755631.0
3,True,3,True,208.0,335049.2451923077,161332.25595700415,7334.0,220028.0,315374.0,388716.0,733427.0
3,True,4,True,200.0,337255.295,140088.91930943145,14584.0,247928.0,313556.0,388300.0,729201.0
3,True,5,True,214.0,349272.30373831774,165907.80901864567,7186.0,237147.0,316195.0,436565.5,718626.0
3,True,6,True,207.0,345429.806763285,141842.52275004983,96506.0,234371.0,317091.0,410150.0,689328.0
